DEPARTAMENTO,CANTIDAD,LAT,LONG
AMAZONAS,999,1.4429,71.5724
ANTIOQUIA,30952,6.2477,75.5658
ARAUCA,2061,6.5473,71.0022
ATLÁNTICO,11999,10.6966,74.8741
BOLÍVAR,9047,8.6704,74.03
BOYACÁ,8231,5.4545,73.362
CALDAS,6231,5.2983,75.2479
CAQUETÁ,3701,0.8699,73.8419
CASANARE,2509,5.7589,71.5724
CAUCA,6805,2.2085,77.8288
CESAR,5230,9.3373,73.6536
CHOCÓ,2139,5.6915,76.659
CUNDINAMARCA,50562,5.026,74.03
CÓRDOBA,6881,8.751,75.8785
GUAINÍA,308,2.5854,68.5247
GUAJIRA,2942,11.3548,72.5205
GUAVIARE,918,2.0439,72.3311
HUILA,10655,2.5359,75.5277
MAGDALENA,6053,10.4113,74.4057
META,8162,3.272,73.0877
NARIÑO,7066,1.2892,77.3579
NORTE DE SANTANDER,6325,7.9463,72.8988
PUTUMAYO,2363,0.436,75.5277
QUINDÍO,3626,4.461,75.6674
RISARALDA,7771,5.3158,75.9928
SAN ANDRÉS,498,12.5769,81.7051
SANTANDER,17709,6.6437,73.6536
SUCRE,4778,8.814,74.7233
TOLIMA,9414,4.0925,75.1545
VALLE,26922,3.8009,76.6413
VAUPÉS,212,0.8554,70.812
VICHADA,341,4.4234,69.2878
