,DEPARTAMENTO,GRUPO ETARIO,FECHA HECHO
0,AMAZONAS,ADOLECENTES,189
1,AMAZONAS,ADOLESCENTES,15
2,AMAZONAS,ADULTOS,268
3,AMAZONAS,MENORES,512
4,ANTIOQUIA,ADOLECENTES,4158
5,ANTIOQUIA,ADOLESCENTES,1339
6,ANTIOQUIA,ADULTOS,9034
7,ANTIOQUIA,MENORES,15243
8,ANTIOQUIA,NO REPORTA,9
9,ANTIOQUIA,NO REPORTADO,2
10,ARAUCA,ADOLECENTES,305
11,ARAUCA,ADOLESCENTES,55
12,ARAUCA,ADULTOS,538
13,ARAUCA,MENORES,1118
14,ARAUCA,NO REPORTA,4
15,ATLÁNTICO,ADOLECENTES,1818
16,ATLÁNTICO,ADOLESCENTES,351
17,ATLÁNTICO,ADULTOS,3383
18,ATLÁNTICO,MENORES,6139
19,ATLÁNTICO,NO REPORTA,5
20,ATLÁNTICO,NO REPORTADO,4
21,BOLÍVAR,ADOLECENTES,1047
22,BOLÍVAR,ADOLESCENTES,432
23,BOLÍVAR,ADULTOS,3706
24,BOLÍVAR,MENORES,3543
25,BOYACÁ,ADOLECENTES,1497
26,BOYACÁ,ADOLESCENTES,301
27,BOYACÁ,ADULTOS,2363
28,BOYACÁ,MENORES,3970
29,CALDAS,ADOLECENTES,960
30,CALDAS,ADOLESCENTES,233
31,CALDAS,ADULTOS,1447
32,CALDAS,MENORES,3467
33,CALDAS,NO REPORTA,1
34,CALDAS,NO REPORTADO,1
35,CAQUETÁ,ADOLECENTES,573
36,CAQUETÁ,ADOLESCENTES,101
37,CAQUETÁ,ADULTOS,759
38,CAQUETÁ,MENORES,2212
39,CASANARE,ADOLECENTES,357
40,CASANARE,ADOLESCENTES,88
41,CASANARE,ADULTOS,641
42,CASANARE,MENORES,1391
43,CASANARE,NO REPORTA,1
44,CAUCA,ADOLECENTES,1132
45,CAUCA,ADOLESCENTES,247
46,CAUCA,ADULTOS,2256
47,CAUCA,MENORES,3073
48,CESAR,ADOLECENTES,690
49,CESAR,ADOLESCENTES,280
50,CESAR,ADULTOS,1485
51,CESAR,MENORES,2535
52,CESAR,NO REPORTA,2
53,CHOCÓ,ADOLECENTES,313
54,CHOCÓ,ADOLESCENTES,69
55,CHOCÓ,ADULTOS,777
56,CHOCÓ,MENORES,945
57,CUNDINAMARCA,ADOLECENTES,6636
58,CUNDINAMARCA,ADOLESCENTES,1496
59,CUNDINAMARCA,ADULTOS,18649
60,CUNDINAMARCA,MENORES,20039
61,CUNDINAMARCA,NO REPORTA,14
62,CUNDINAMARCA,NO REPORTADO,9
63,CÓRDOBA,ADOLECENTES,1140
64,CÓRDOBA,ADOLESCENTES,374
65,CÓRDOBA,ADULTOS,1398
66,CÓRDOBA,MENORES,3870
