,DEPARTAMENTO,year,CANTIDAD
0,AMAZONAS,2010,54.0
1,AMAZONAS,2011,73.0
2,AMAZONAS,2012,51.0
3,AMAZONAS,2013,79.0
4,AMAZONAS,2014,63.0
5,AMAZONAS,2015,64.0
6,AMAZONAS,2016,72.0
7,AMAZONAS,2017,116.0
8,AMAZONAS,2018,142.0
9,AMAZONAS,2019,153.0
10,AMAZONAS,2020,76.0
11,AMAZONAS,2021,48.0
12,AMAZONAS,2022,8.0
13,ANTIOQUIA,2010,280.0
14,ANTIOQUIA,2011,276.0
15,ANTIOQUIA,2012,335.0
16,ANTIOQUIA,2013,442.0
17,ANTIOQUIA,2014,886.0
18,ANTIOQUIA,2015,2928.0
19,ANTIOQUIA,2016,3099.0
20,ANTIOQUIA,2017,3677.0
21,ANTIOQUIA,2018,4756.0
22,ANTIOQUIA,2019,5097.0
23,ANTIOQUIA,2020,4396.0
24,ANTIOQUIA,2021,4303.0
25,ANTIOQUIA,2022,477.0
26,ARAUCA,2010,83.0
27,ARAUCA,2011,62.0
28,ARAUCA,2012,104.0
29,ARAUCA,2013,90.0
30,ARAUCA,2014,125.0
31,ARAUCA,2015,157.0
32,ARAUCA,2016,183.0
33,ARAUCA,2017,234.0
34,ARAUCA,2018,309.0
35,ARAUCA,2019,305.0
36,ARAUCA,2020,203.0
37,ARAUCA,2021,183.0
38,ARAUCA,2022,23.0
39,ATLANTICO,2010,232.0
40,ATLANTICO,2011,466.0
41,ATLANTICO,2012,600.0
42,ATLANTICO,2013,551.0
43,ATLANTICO,2014,759.0
44,ATLANTICO,2015,887.0
45,ATLANTICO,2016,983.0
46,ATLANTICO,2017,1210.0
47,ATLANTICO,2018,1754.0
48,ATLANTICO,2019,2026.0
49,ATLANTICO,2020,1228.0
50,ATLANTICO,2021,1203.0
51,ATLANTICO,2022,100.0
52,BOLIVAR,2010,162.0
53,BOLIVAR,2011,218.0
54,BOLIVAR,2012,463.0
55,BOLIVAR,2013,312.0
56,BOLIVAR,2014,381.0
57,BOLIVAR,2015,828.0
58,BOLIVAR,2016,684.0
59,BOLIVAR,2017,833.0
60,BOLIVAR,2018,1259.0
61,BOLIVAR,2019,1400.0
62,BOLIVAR,2020,1159.0
63,BOLIVAR,2021,1171.0
64,BOLIVAR,2022,177.0
65,BOYACA,2010,302.0
66,BOYACA,2011,420.0
67,BOYACA,2012,579.0
68,BOYACA,2013,571.0
69,BOYACA,2014,404.0
70,BOYACA,2015,699.0
71,BOYACA,2016,767.0
72,BOYACA,2017,788.0
73,BOYACA,2018,1036.0
74,BOYACA,2019,982.0
75,BOYACA,2020,764.0
76,BOYACA,2021,811.0
77,BOYACA,2022,108.0
78,CALDAS,2010,134.0
79,CALDAS,2011,251.0
80,CALDAS,2012,271.0
81,CALDAS,2013,249.0
82,CALDAS,2014,304.0
83,CALDAS,2015,441.0
84,CALDAS,2016,611.0
85,CALDAS,2017,713.0
86,CALDAS,2018,764.0
87,CALDAS,2019,999.0
88,CALDAS,2020,739.0
89,CALDAS,2021,677.0
90,CALDAS,2022,78.0
